customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50000,3,Month-to-month,27.22,74.59,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,No,Yes,No,3,0.0,0,1,0
CUST50001,50,Month-to-month,32.66,1601.91,Fiber optic,No,No,Yes,Electronic check,No,0,No,No,Yes,No,1,4.65,1,0,0
CUST50002,52,One year,91.95,4795.4,DSL,No,Yes,No,Bank transfer (auto),No,0,No,No,Yes,Yes,0,0.86,1,2,1
CUST50003,7,Two year,63.32,418.91,DSL,No,No,Yes,Electronic check,No,0,Yes,No,Yes,No,2,20.68,0,0,1
CUST50004,40,Two year,43.64,1578.19,Fiber optic,No,Yes,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,Yes,0,10.61,0,0,0
CUST50005,29,One year,100.87,2932.43,Fiber optic,No,No,Yes,Electronic check,No,0,Yes,No,Yes,Yes,5,2.75,0,1,0
CUST50006,11,One year,74.64,843.33,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,No,1,0.0,0,0,1
CUST50007,10,Two year,110.59,1059.19,Fiber optic,No,No,Yes,Electronic check,No,1,No,No,Yes,Yes,3,25.6,1,1,0
CUST50008,3,Month-to-month,22.23,75.91,DSL,Yes,No,Yes,Electronic check,Yes,0,No,No,No,No phone service,6,39.57,0,0,1
CUST50009,30,Month-to-month,76.56,2512.31,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,Yes,1,0.0,0,1,1
CUST50010,8,Two year,34.14,272.09,DSL,No,Yes,Yes,Electronic check,No,0,No,No,Yes,No,2,0.56,1,1,1
CUST50011,6,Month-to-month,32.1,167.33,DSL,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,No,0,65.73,0,1,1
CUST50012,51,Month-to-month,106.16,6064.33,Fiber optic,Yes,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,5,25.23,1,2,0
CUST50013,27,One year,67.87,1892.76,DSL,No,No,No,Bank transfer (auto),Yes,0,No,No,Yes,No,2,22.66,0,0,0
CUST50014,21,Month-to-month,70.12,1346.4,DSL,Yes,No,No,Credit card (auto),Yes,0,No,No,Yes,No,2,4.73,1,0,0
CUST50015,38,Month-to-month,25.59,868.53,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,Yes,Yes,Yes,2,0.0,0,0,0
CUST50016,15,One year,117.72,1902.1,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,Yes,Yes,Yes,4,0.0,0,0,0
CUST50017,1,Month-to-month,37.29,39.93,DSL,No,No,No,Credit card (auto),Yes,0,No,No,Yes,No,1,13.49,0,1,1
CUST50018,17,Two year,87.47,1598.3,DSL,Yes,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,2,6.68,0,1,0
CUST50019,17,One year,103.06,1818.17,Fiber optic,No,Yes,No,Electronic check,No,0,Yes,Yes,Yes,No,1,6.93,0,0,1
CUST50020,25,Month-to-month,117.54,3094.24,Fiber optic,Yes,No,No,Credit card (auto),Yes,0,No,Yes,Yes,No,3,11.65,0,2,1
CUST50021,5,One year,42.52,239.12,DSL,No,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,No,1,3.53,0,1,0
CUST50022,3,Month-to-month,43.04,124.09,Fiber optic,No,Yes,No,Mailed check,No,0,Yes,No,Yes,No,3,6.61,1,0,0
CUST50023,45,Month-to-month,57.06,2539.02,DSL,Yes,Yes,No,Bank transfer (auto),No,0,Yes,No,Yes,Yes,1,12.44,0,0,0
CUST50024,52,One year,24.38,1444.43,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,2,10.17,1,0,0
CUST50025,16,Month-to-month,92.7,1674.38,DSL,No,No,Yes,Electronic check,No,0,No,No,Yes,No,2,5.59,1,2,1
CUST50026,3,Month-to-month,30.72,101.8,DSL,Yes,Yes,No,Electronic check,Yes,1,Yes,No,Yes,No,7,2.18,0,0,0
CUST50027,13,Month-to-month,32.11,389.3,Fiber optic,No,Yes,Yes,Bank transfer (auto),No,1,Yes,No,Yes,No,3,8.07,1,0,0
CUST50028,4,Month-to-month,95.1,377.74,Fiber optic,No,No,Yes,Electronic check,Yes,0,Yes,No,Yes,No,1,21.64,0,0,1
CUST50029,42,Two year,57.89,2150.41,Fiber optic,Yes,Yes,No,Mailed check,No,0,Yes,No,Yes,No,2,15.46,2,2,0
CUST50030,20,Two year,106.9,2229.08,Fiber optic,Yes,No,Yes,Bank transfer (auto),No,0,No,No,Yes,No,2,107.46,0,0,0
CUST50031,20,Month-to-month,60.17,1197.33,DSL,No,No,Yes,Electronic check,No,0,Yes,No,Yes,Yes,1,13.85,0,0,0
CUST50032,16,One year,66.81,1102.38,Fiber optic,No,Yes,Yes,Mailed check,No,0,No,No,Yes,Yes,2,1.67,1,0,0
CUST50033,4,Month-to-month,51.4,216.67,DSL,No,No,No,Electronic check,No,1,No,Yes,Yes,No,0,17.74,0,0,0
CUST50034,11,One year,40.76,405.39,DSL,No,No,Yes,Electronic check,Yes,0,No,No,No,No phone service,2,4.83,0,0,1
CUST50035,16,One year,114.58,1730.57,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,2,12.07,2,1,1
CUST50036,8,Two year,56.93,445.23,Fiber optic,No,Yes,No,Mailed check,Yes,0,Yes,Yes,Yes,No,2,15.11,1,1,0
CUST50037,24,One year,111.17,2972.15,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,Yes,Yes,No,2,0.0,1,1,0
CUST50038,1,Month-to-month,84.48,72.35,Fiber optic,No,No,No,Credit card (auto),Yes,0,Yes,No,Yes,No,2,0.28,0,0,0
CUST50039,5,Two year,23.98,114.9,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,Yes,Yes,No,No phone service,2,18.42,1,1,0
CUST50040,10,One year,108.08,1104.8,DSL,Yes,Yes,No,Credit card (auto),Yes,0,Yes,No,Yes,No,2,44.36,0,0,0
CUST50041,1,Month-to-month,72.01,81.63,DSL,Yes,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,1,9.14,0,0,0
CUST50042,22,One year,65.61,1357.66,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,1,No,Yes,Yes,Yes,4,0.0,1,0,0
CUST50043,16,Two year,85.43,1459.62,DSL,No,No,No,Electronic check,No,0,No,Yes,Yes,No,2,2.16,0,0,0
CUST50044,5,Two year,52.6,269.57,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,No,Yes,Yes,Yes,1,28.29,1,1,0
CUST50045,5,Two year,80.77,412.05,DSL,No,Yes,No,Mailed check,No,0,Yes,Yes,Yes,No,1,5.92,1,1,1
CUST50046,8,Month-to-month,51.84,392.29,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,No,Yes,Yes,1,0.11,0,0,0
CUST50047,1,Two year,75.2,79.97,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,No,No,No phone service,2,0.0,1,0,0
CUST50048,15,One year,68.39,1157.48,DSL,Yes,No,No,Mailed check,No,0,Yes,No,Yes,No,1,39.97,0,0,1
CUST50049,12,Month-to-month,50.47,584.86,DSL,Yes,No,No,Electronic check,No,0,Yes,No,Yes,No,1,31.46,0,0,1
CUST50050,44,Two year,29.24,1265.46,DSL,Yes,No,No,Credit card (auto),No,0,Yes,Yes,Yes,Yes,3,11.34,1,1,0
CUST50051,59,Month-to-month,103.41,6252.05,DSL,No,No,No,Electronic check,Yes,0,Yes,Yes,No,No phone service,5,9.8,0,1,0
CUST50052,2,Two year,40.59,80.09,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,Yes,No,Yes,No,2,0.95,0,2,0
CUST50053,1,Month-to-month,73.63,63.28,Fiber optic,Yes,Yes,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,No,3,8.44,1,0,0
CUST50054,24,Month-to-month,60.55,1615.54,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,Yes,No,Yes,Yes,2,0.0,1,1,0
CUST50055,1,Month-to-month,45.88,49.31,Fiber optic,No,No,No,Electronic check,No,0,No,Yes,Yes,No,3,41.47,0,0,0
CUST50056,27,One year,36.05,1053.91,Fiber optic,Yes,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,1,24.2,1,0,1
CUST50057,46,Month-to-month,32.96,1370.88,DSL,Yes,No,No,Electronic check,Yes,1,Yes,No,Yes,No,4,4.14,0,0,1
CUST50058,19,Month-to-month,72.11,1430.03,Fiber optic,No,No,No,Electronic check,No,0,No,No,Yes,No,4,82.12,1,0,0
CUST50059,1,Month-to-month,43.0,46.98,DSL,No,No,Yes,Electronic check,No,0,Yes,Yes,Yes,Yes,3,30.32,0,0,0
CUST50060,4,Month-to-month,98.82,337.57,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,Yes,Yes,Yes,2,0.0,2,1,1
CUST50061,3,Two year,29.74,77.56,DSL,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,5,6.92,0,0,0
CUST50062,8,Month-to-month,47.45,379.03,Fiber optic,Yes,No,No,Mailed check,No,0,Yes,Yes,Yes,Yes,1,1.56,1,2,1
CUST50063,35,Month-to-month,40.96,1602.48,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,1,No,No,Yes,No,2,0.0,1,1,1
CUST50064,17,Month-to-month,46.12,862.12,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,No,4,48.04,0,0,0
CUST50065,10,Month-to-month,66.65,586.23,DSL,Yes,Yes,Yes,Electronic check,No,0,No,No,Yes,Yes,0,8.52,1,2,1
CUST50066,5,Two year,75.32,418.82,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,Yes,Yes,No,1,0.0,0,1,0
CUST50067,8,Two year,66.93,597.37,DSL,Yes,No,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,4,5.19,0,0,1
CUST50068,8,Two year,20.64,150.33,DSL,No,No,No,Mailed check,Yes,0,No,Yes,Yes,No,0,41.59,2,1,0
CUST50069,21,Month-to-month,77.83,1743.09,DSL,No,No,No,Credit card (auto),No,0,No,No,Yes,Yes,0,7.14,0,1,0
CUST50070,1,Month-to-month,73.95,66.66,Fiber optic,No,No,No,Bank transfer (auto),No,0,No,No,Yes,Yes,4,10.06,0,0,1
CUST50071,7,One year,71.68,547.76,DSL,No,Yes,Yes,Electronic check,No,0,Yes,Yes,Yes,No,0,3.29,1,1,0
CUST50072,29,Month-to-month,86.12,2542.09,Fiber optic,Yes,Yes,Yes,Electronic check,Yes,0,No,No,Yes,No,1,23.02,1,0,0
CUST50073,13,Two year,106.56,1530.62,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,Yes,No,3,0.0,1,1,0
CUST50074,17,Month-to-month,51.09,901.29,Fiber optic,Yes,No,No,Electronic check,No,0,Yes,Yes,No,No phone service,1,35.07,0,0,0
CUST50075,5,Month-to-month,37.03,169.6,Fiber optic,No,Yes,Yes,Bank transfer (auto),Yes,0,No,Yes,Yes,No,0,21.88,2,1,0
CUST50076,15,One year,50.16,848.65,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,1,0.0,0,1,1
CUST50077,42,Two year,20.1,840.25,DSL,No,No,Yes,Bank transfer (auto),Yes,0,No,No,Yes,No,0,41.24,0,0,0
CUST50078,6,One year,38.31,197.92,DSL,Yes,Yes,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,No,1,8.09,1,3,0
CUST50079,30,Two year,108.56,3414.74,Fiber optic,No,No,No,Mailed check,Yes,1,Yes,Yes,Yes,No,1,1.19,0,0,0
CUST50080,18,One year,116.67,1970.93,Fiber optic,No,Yes,No,Electronic check,No,0,No,No,Yes,No,1,4.85,0,0,1
CUST50081,8,Two year,69.48,487.52,Fiber optic,No,No,Yes,Bank transfer (auto),Yes,1,No,No,Yes,Yes,2,3.09,1,0,0
CUST50082,37,Two year,28.78,1220.2,Fiber optic,No,Yes,No,Electronic check,Yes,0,No,No,Yes,Yes,2,6.15,0,0,0
CUST50083,6,One year,57.38,330.88,Fiber optic,No,No,Yes,Electronic check,No,0,No,No,Yes,No,0,11.67,0,1,1
CUST50084,9,Month-to-month,107.05,1005.66,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,No,5,0.0,1,1,1
CUST50085,6,One year,117.98,744.18,Fiber optic,No,No,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,No,5,34.15,0,0,0
CUST50086,28,Month-to-month,48.11,1462.69,No,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,No,Yes,Yes,2,0.0,2,0,1
CUST50087,1,Two year,107.27,91.87,Fiber optic,No,No,Yes,Bank transfer (auto),No,0,No,Yes,Yes,No,3,4.18,1,2,0
CUST50088,10,Month-to-month,61.28,697.74,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,0,0.98,0,0,0
CUST50089,28,One year,91.55,2382.21,Fiber optic,No,No,No,Mailed check,Yes,0,Yes,No,Yes,No,2,1.0,1,0,0
CUST50090,4,Month-to-month,110.24,462.56,DSL,No,No,No,Bank transfer (auto),No,0,No,Yes,Yes,No,1,16.88,0,1,0
CUST50091,20,Month-to-month,36.72,705.39,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,1,0.0,0,0,0
CUST50092,4,Month-to-month,98.6,434.63,Fiber optic,Yes,Yes,Yes,Electronic check,No,0,Yes,No,Yes,Yes,2,12.06,0,0,1
CUST50093,8,One year,109.7,879.79,Fiber optic,Yes,Yes,No,Credit card (auto),No,1,No,No,Yes,No,2,19.67,1,0,0
CUST50094,3,Month-to-month,69.41,234.19,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,Yes,Yes,Yes,No,5,0.0,0,0,1
CUST50095,33,Month-to-month,50.74,1486.53,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,Yes,Yes,No,1,0.0,0,1,1
CUST50096,64,Month-to-month,31.8,2212.53,Fiber optic,No,No,Yes,Mailed check,No,0,No,Yes,Yes,No,1,9.16,0,0,1
CUST50097,21,Month-to-month,82.3,1717.77,Fiber optic,Yes,No,Yes,Electronic check,No,0,Yes,No,Yes,Yes,3,35.68,1,0,1
CUST50098,13,Month-to-month,23.47,271.53,DSL,No,No,No,Mailed check,No,0,Yes,No,Yes,No,0,31.27,0,1,0
CUST50099,6,Month-to-month,43.33,263.41,Fiber optic,Yes,No,No,Electronic check,No,0,No,No,No,No phone service,0,3.27,1,0,1
CUST50100,11,Month-to-month,98.27,996.26,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,No,No phone service,1,0.0,2,0,1
CUST50101,31,One year,51.67,1617.39,DSL,Yes,Yes,No,Electronic check,Yes,0,No,No,Yes,Yes,3,94.7,1,0,0
CUST50102,34,Two year,24.28,707.27,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,Yes,1,54.15,1,0,1
CUST50103,2,Month-to-month,61.16,138.2,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,Yes,Yes,Yes,4,0.0,0,0,0
CUST50104,4,One year,74.64,286.61,DSL,No,No,No,Electronic check,Yes,1,No,Yes,No,No phone service,3,16.7,1,0,0
CUST50105,11,Month-to-month,79.4,761.49,DSL,No,Yes,No,Bank transfer (auto),Yes,0,Yes,No,Yes,Yes,1,35.5,0,1,1
CUST50106,49,Month-to-month,90.23,4574.92,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,Yes,No,5,0.0,0,1,1
CUST50107,4,One year,40.49,167.09,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,Yes,No,Yes,Yes,0,27.26,2,1,0
CUST50108,1,Month-to-month,51.56,54.01,Fiber optic,No,Yes,Yes,Mailed check,Yes,1,Yes,No,Yes,Yes,1,2.77,0,0,1
CUST50109,5,Two year,100.11,428.73,DSL,No,No,No,Electronic check,Yes,0,No,No,Yes,No,1,4.89,0,1,0
CUST50110,32,Two year,31.71,1078.81,DSL,No,Yes,No,Credit card (auto),Yes,0,No,No,Yes,Yes,2,39.3,0,0,0
CUST50111,1,One year,82.8,90.35,DSL,Yes,Yes,Yes,Electronic check,No,0,Yes,No,Yes,No,1,0.79,0,0,0
CUST50112,4,One year,66.81,267.89,Fiber optic,Yes,No,No,Bank transfer (auto),No,1,Yes,Yes,Yes,Yes,1,9.18,1,3,0
CUST50113,27,Month-to-month,71.7,2172.69,DSL,No,No,Yes,Bank transfer (auto),Yes,0,No,No,Yes,No,0,0.87,0,1,0
CUST50114,17,One year,91.12,1472.76,DSL,Yes,No,Yes,Electronic check,No,1,Yes,Yes,Yes,Yes,3,61.61,0,1,0
CUST50115,1,Month-to-month,58.52,63.08,DSL,No,No,No,Credit card (auto),Yes,0,Yes,No,Yes,No,3,46.06,0,0,0
CUST50116,5,Month-to-month,38.43,216.65,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,4,0.0,0,0,0
CUST50117,19,Month-to-month,51.6,891.96,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,No,3,0.5,1,1,0
CUST50118,21,One year,68.4,1515.59,DSL,No,No,No,Electronic check,No,0,No,No,Yes,Yes,1,4.95,0,1,0
CUST50119,23,Month-to-month,68.64,1631.38,DSL,Yes,No,No,Bank transfer (auto),Yes,1,No,Yes,Yes,Yes,3,76.9,0,1,0
CUST50120,37,Two year,39.25,1328.5,Fiber optic,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,2,1.98,0,0,0
CUST50121,26,One year,101.79,2933.09,DSL,Yes,Yes,Yes,Bank transfer (auto),Yes,0,Yes,Yes,No,No phone service,3,37.1,0,0,0
CUST50122,14,Two year,107.29,1686.36,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,No,0,0.0,1,1,0
CUST50123,4,One year,87.7,322.9,Fiber optic,Yes,Yes,No,Mailed check,Yes,0,Yes,Yes,Yes,No,2,13.37,1,0,1
CUST50124,3,One year,119.52,344.26,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,No,Yes,No,4,0.0,0,1,0
CUST50125,4,Month-to-month,96.6,380.72,Fiber optic,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,2,8.38,0,1,0
CUST50126,1,One year,102.4,94.11,DSL,No,No,Yes,Electronic check,No,1,Yes,No,Yes,No,0,58.89,0,0,0
CUST50127,12,Two year,81.56,1067.18,DSL,Yes,No,Yes,Credit card (auto),No,0,Yes,No,Yes,No,5,8.52,0,0,0
CUST50128,15,Month-to-month,99.23,1496.87,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,Yes,Yes,2,0.0,0,0,0
CUST50129,26,Month-to-month,42.36,1213.2,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,Yes,Yes,Yes,No,4,0.0,0,1,1
CUST50130,17,Two year,46.43,739.4,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,1,Yes,No,Yes,No,1,0.0,1,0,0
CUST50131,9,One year,52.14,435.24,DSL,Yes,Yes,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,2,26.68,2,2,0
CUST50132,33,Month-to-month,78.5,2943.71,DSL,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,No,0,32.58,0,0,1
CUST50133,70,Month-to-month,45.04,3205.34,Fiber optic,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,Yes,2,3.95,2,1,0
CUST50134,28,Month-to-month,54.23,1533.59,DSL,No,No,No,Mailed check,No,1,No,No,Yes,No,0,8.32,0,2,0
CUST50135,47,Month-to-month,62.21,3215.53,DSL,Yes,No,No,Mailed check,Yes,1,No,No,Yes,Yes,1,28.97,0,3,0
CUST50136,27,Two year,50.05,1329.64,Fiber optic,No,No,Yes,Electronic check,Yes,1,No,Yes,Yes,No,4,24.26,2,0,0
CUST50137,49,One year,24.99,1323.31,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,0,No,No,Yes,No,2,22.27,0,0,0
CUST50138,37,Month-to-month,43.84,1779.58,Fiber optic,No,No,Yes,Credit card (auto),No,0,No,No,Yes,No,4,34.76,1,0,0
CUST50139,7,Month-to-month,91.86,581.01,DSL,No,No,No,Electronic check,No,0,No,No,Yes,Yes,3,1.15,0,1,1
CUST50140,15,Month-to-month,81.28,1320.01,DSL,No,No,Yes,Electronic check,Yes,0,No,No,Yes,No,2,23.34,1,2,1
CUST50141,43,Month-to-month,43.46,1742.85,DSL,No,Yes,Yes,Bank transfer (auto),No,1,Yes,No,No,No phone service,2,17.91,1,1,0
CUST50142,9,Month-to-month,99.91,790.02,Fiber optic,No,No,Yes,Electronic check,No,0,No,No,Yes,No,3,34.29,0,1,1
CUST50143,16,Two year,22.23,307.38,DSL,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,5,12.47,1,0,0
CUST50144,18,Two year,72.11,1200.16,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,Yes,No,No,No phone service,5,0.0,0,1,0
CUST50145,24,Month-to-month,78.54,1946.75,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,0,0.0,1,0,0
CUST50146,15,Month-to-month,34.99,545.45,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,No,2,0.0,0,1,1
CUST50147,7,Two year,80.45,585.4,DSL,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,No,0,3.28,0,1,0
CUST50148,70,Month-to-month,100.72,6059.08,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,No,Yes,Yes,2,10.89,0,0,1
CUST50149,36,Two year,103.9,3459.94,DSL,Yes,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,1,6.5,0,0,0
CUST50150,1,One year,60.54,66.79,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,No,Yes,No,0,0.0,2,0,0
CUST50151,72,One year,51.61,3964.67,DSL,Yes,No,Yes,Bank transfer (auto),Yes,1,No,No,Yes,No,0,24.96,0,0,1
CUST50152,13,Month-to-month,52.21,638.97,Fiber optic,Yes,Yes,No,Mailed check,No,0,Yes,No,Yes,Yes,3,29.3,1,1,0
CUST50153,34,Month-to-month,42.42,1359.75,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,Yes,5,2.73,0,1,1
CUST50154,4,Month-to-month,86.27,305.3,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,Yes,3,0.0,1,0,1
CUST50155,15,Month-to-month,107.01,1839.67,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,No,No phone service,0,0.0,0,0,1
CUST50156,5,Month-to-month,96.19,532.7,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,4,0.0,1,0,1
CUST50157,3,Month-to-month,90.97,246.65,Fiber optic,No,Yes,Yes,Bank transfer (auto),Yes,0,No,No,Yes,No,4,9.07,0,1,0
